latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
61.998028,10.006897,801.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),rain (mm),cloud_cover (%)
2019-01-01T00:00,-2.8,77,0.00,0.00,33
2019-01-01T01:00,-2.7,76,0.00,0.00,79
2019-01-01T02:00,-7.0,84,0.10,0.00,97
2019-01-01T03:00,-5.8,83,0.10,0.00,88
2019-01-01T04:00,-5.9,83,0.10,0.00,76
2019-01-01T05:00,-2.0,78,0.30,0.00,89
2019-01-01T06:00,-4.0,83,0.20,0.00,100
2019-01-01T07:00,-1.1,85,0.80,0.00,100
2019-01-01T08:00,-0.4,85,0.90,0.00,99
2019-01-01T09:00,-0.3,83,1.10,0.00,100
2019-01-01T10:00,-0.5,80,0.90,0.00,100
2019-01-01T11:00,-1.0,79,0.70,0.00,99
2019-01-01T12:00,-1.6,76,0.70,0.00,99
2019-01-01T13:00,-1.8,74,0.30,0.00,90
2019-01-01T14:00,-2.0,72,0.10,0.00,85
2019-01-01T15:00,-2.3,74,0.20,0.00,95
2019-01-01T16:00,-2.7,77,0.20,0.00,81
2019-01-01T17:00,-3.3,75,0.10,0.00,88
2019-01-01T18:00,-3.9,75,0.20,0.00,93
2019-01-01T19:00,-3.7,79,0.30,0.00,92
2019-01-01T20:00,-4.6,75,0.30,0.00,87
2019-01-01T21:00,-4.9,74,0.20,0.00,93
2019-01-01T22:00,-5.1,75,0.30,0.00,84
2019-01-01T23:00,-5.1,76,0.30,0.00,83
2019-01-02T00:00,-4.7,78,0.20,0.00,88
2019-01-02T01:00,-4.5,77,0.10,0.00,88
2019-01-02T02:00,-4.5,76,0.10,0.00,74
2019-01-02T03:00,-4.9,76,0.10,0.00,87
2019-01-02T04:00,-5.2,77,0.10,0.00,93
2019-01-02T05:00,-4.9,77,0.00,0.00,93
2019-01-02T06:00,-4.9,77,0.10,0.00,96
2019-01-02T07:00,-4.8,78,0.10,0.00,97
2019-01-02T08:00,-4.6,78,0.10,0.00,98
2019-01-02T09:00,-4.3,78,0.00,0.00,100
2019-01-02T10:00,-4.3,77,0.00,0.00,100
2019-01-02T11:00,-4.3,76,0.00,0.00,96
2019-01-02T12:00,-5.3,75,0.00,0.00,98
2019-01-02T13:00,-4.8,76,0.00,0.00,100
2019-01-02T14:00,-4.3,77,0.00,0.00,100
2019-01-02T15:00,-3.6,77,0.00,0.00,100
2019-01-02T16:00,-3.3,76,0.00,0.00,100
2019-01-02T17:00,-3.4,76,0.00,0.00,100
2019-01-02T18:00,-3.5,79,0.00,0.00,100
